year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,85,24,30,196
1988,51,244,7,85
1989,99,180,123,156
1990,50,119,48,66
1991,114,85,47,73
1992,56,205,26,105
1993,123,129,84,118
1994,39,64,46,67
1995,15,46,95,108
1996,90,56,196,161
1997,70,169,172,108
1998,52,178,45,50
1999,91,43,63,57
2000,10,84,3,77
2001,58,79,25,103
2002,46,184,44,95
2003,93,72,55,100
2004,110,201,23,49
2005,25,34,70,87
2006,68,85,23,96
2007,75,104,14,70
2008,46,296,17,152
2009,138,75,33,125
2010,196,126,135,129
2011,64,161,44,61
2012,51,79,68,206
2013,150,113,81,102
2014,77,84,23,135
2015,148,46,90,78
2016,70,81,21,169
