year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,142,352,298,302
1988,287,404,251,344
1989,142,228,155,177
1990,152,269,103,394
1991,187,177,184,257
1992,81,193,254,283
1993,42,263,551,394
1994,197,320,269,232
1995,284,283,232,200
1996,150,180,213,303
1997,92,175,135,198
1998,101,290,278,167
1999,254,236,389,223
2000,155,194,201,313
2001,248,257,263,134
2002,154,219,310,453
2003,94,118,125,357
2004,152,106,212,273
2005,127,258,190,257
2006,196,162,229,198
2007,179,331,192,139
2008,153,242,392,237
2009,180,145,137,253
2010,231,304,159,217
2011,163,179,254,253
2012,108,279,199,340
2013,233,316,219,338
2014,334,165,289,298
2015,233,233,196,124
2016,168,306,132,185
