year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,161,99,68,113
1988,77,273,42,49
1989,53,126,74,308
1990,37,133,53,108
1991,134,99,48,92
1992,39,156,30,146
1993,57,225,65,158
1994,76,144,70,171
1995,70,116,84,168
1996,178,132,69,225
1997,67,173,165,267
1998,54,165,104,74
1999,79,142,119,176
2000,30,167,85,267
2001,220,56,71,69
2002,90,119,124,237
2003,173,122,101,203
2004,80,109,97,97
2005,24,95,29,152
2006,82,60,77,233
2007,129,179,69,97
2008,72,263,40,137
2009,55,95,33,229
2010,228,172,26,214
2011,135,100,46,102
2012,29,136,23,176
2013,174,152,78,178
2014,136,129,118,128
2015,62,106,52,135
2016,178,152,12,87
