year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,181,263,233,211
1988,326,231,203,218
1989,153,208,129,235
1990,182,183,214,279
1991,196,138,153,215
1992,104,165,135,206
1993,73,104,175,211
1994,188,183,155,154
1995,236,174,147,135
1996,104,85,100,233
1997,108,156,145,181
1998,79,186,100,190
1999,122,157,194,193
2000,136,178,243,236
2001,183,220,263,166
2002,146,120,145,231
2003,117,158,67,143
2004,160,165,158,114
2005,90,161,209,90
2006,145,132,213,163
2007,147,102,205,109
2008,186,205,146,110
2009,93,180,145,152
2010,122,125,202,211
2011,91,99,166,183
2012,83,231,106,214
2013,158,279,129,357
2014,144,106,280,203
2015,163,99,164,127
2016,217,280,81,115
